label	correctans	note	duration2
14889970_100LaMvM	pole	1_	0.999936507936508
14889970_102LaNMvM	prize	1_	1.3553834719072815
14889970_103LaNMvNM	raft	1_	0.6278344671201816
14889970_104HaMvNM	rent	1_	1.335758954184083
14889970_105LaMvM	rim	0_room? vowel in TIN and CLIFF are fronter	0.5598979591836741
14889970_107LaNMvM	rope	1_	1.1814561062520248
14889970_108LaNMvNM	row	1_	1.2127551020408198
14889970_109HaMvNM	sand	1_	1.0280432001860582
14889970_10HaMvM	bowl	1_	1.3921094868207327
14889970_110LaMvM	scab	1_	1.2375994640280403
14889970_111LaNMvM	seeds	1_	1.0620367670877897
14889970_112LaMvNM	shed	1_	1.053390022675739
14889970_113HaNMvNM	sheep	1_	0.9757232366630859
14889970_114HaNMvM	silk	1_	0.9160402494331095
14889970_115HaMvM	skirt	1_	0.8814051758269486
14889970_116LaMvNM	sleeves	1_	1.075521541950117
14889970_117HaNMvNM	slice	1_	1.0686973819830996
14889970_118HaNMvM	sling	1_	1.1079478458049863
14889970_119HaMvM	splash	1_	1.0971848739495798
14889970_120LaMvNM	sponge	1_	0.9259697212218256
14889970_121HaNMvNM	spool	1_	1.0878042328042312
14889970_122HaNMvM	spoon	1_	1.1920521541950109
14889970_123HaMvM	sport	1_	1.0149227923288038
14889970_124LaMvNM	spray	1_	1.2257709750566903
14889970_126HaNMvNM	strap	1_	1.1097448979591746
14889970_127HaNMvM	swamps	1_	0.9915592033915175
14889970_128HaMvM	swan	1_	0.9988208616780128
14889970_129LaNMvNM	tea	1_	0.929136453116044
14889970_12LaMvNM	bread	1_	0.9860782372913945
14889970_130HaMvNM	tent	1_	0.7283205443120693
14889970_131LaMvM	thief	1_	0.9790602166792723
14889970_132LaNMvM	thorns	1_	1.0706035078308531
14889970_133LaNMvNM	throat	1_	1.1514901566687286
14889970_134HaMvNM	tin	1_	1.3109868709388621
14889970_136LaMvM	trail	1_	1.0808222555077123
14889970_137LaNMvM	trap	0_self-correction?	0.7637534823453223
14889970_138LaNMvNM	truck	1_	1.1421594278737217
14889970_139HaMvNM	tub	1_	0.8557278506640813
14889970_13HaMvM	breath	1_	1.3207679088406934
14889970_140LaMvM	van	1_	1.281530612244893
14889970_141LaNMvM	wax	1_	1.238534823453179
14889970_14HaNMvNM	broom	1_	1.1099999999999852
14889970_15HaNMvM	bruise	1_	1.8647319853867401
14889970_16HaMvM	cake	1_	1.1878177861182735
14889970_17LaNMvNM	calf	1_	1.1792051108469224
14889970_19HaMvNM	chat	1_	0.7035368750674564
14889970_20LaMvM	chunks	1_	1.3518054063730744
14889970_21LaNMvM	clerk	1_	1.2174923218232436
14889970_22LaNMvNM	cliff	1_	0.6813718820861538
14889970_23HaMvNM	clock	1_	1.084232716342342
14889970_24LaMvM	clue	1_	1.2635161471996241
14889970_25LaNMvM	coach	1_	1.1201888245009854
14889970_26LaNMvNM	coast	1_	1.2878920742228104
14889970_27HaMvNM	coin	1_	0.8890407353417515
14889970_28LaMvM	cops	0_pops	1.0607404257999633
14889970_29LaNMvM	crash	1_	1.0081118377369478
14889970_2LaMvNM	barn	1_	1.306696445646537
14889970_30LaNMvNM	crew	1_	1.1457671957672062
14889970_31HaMvNM	crib	1_	1.1320385487528313
14889970_32LaMvM	crop	1_	1.3177994227993963
14889970_33LaNMvM	crown	1_	0.9748458049886608
14889970_35LaMvNM	curb	1_	1.104775715926877
14889970_36HaNMvNM	dart	1_	1.2139762880869682
14889970_37HaNMvM	deck	0_geck?	1.3722893424036329
14889970_38HaMvM	den	1_	1.2746470090383752
14889970_39LaMvNM	dent	1_	1.210315773070704
14889970_3HaNMvNM	bay	1_	1.1073429371748773
14889970_40HaNMvNM	ditch	1_	1.0351553457203977
14889970_41HaNMvM	dive	1_	1.1457123905280753
14889970_42HaMvM	doll	1_	0.9020205701328052
14889970_43LaMvNM	dove	1_	1.1106150328984086
14889970_44LaNMvNM	draft	1_	1.2474181218879323
14889970_45HaMvNM	drain	1_	1.322613827921117
14889970_46HaNMvNM	drug	1_	1.2751457725947262
14889970_47HaNMvM	drum	1_	1.219486450317845
14889970_48LaNMvM	feast	1_	0.8198225491746882
14889970_4HaNMvM	beak	1_	0.9614692166174734
14889970_50HaMvM	flame	1_	1.0988246409674787
14889970_51LaMvNM	flock	1_	1.095852401566674
14889970_52HaMvNM	flood	1_	1.2022715287665164
14889970_53HaNMvNM	frogs	1_	1.0943760024334495
14889970_54LaNMvM	fudge	1_	0.9544346182917138
14889970_55HaNMvNM	fur	1_	1.0998701227617005
14889970_57HaNMvM	glue	1_	0.8098113087268928
14889970_58HaMvM	goal	1_	0.9842755285897624
14889970_59LaNMvNM	gown	1_	1.2763578764838712
14889970_5HaMvM	beam	0_bean	1.2654542622909162
14889970_60HaMvNM	grin	0_groan	1.2370899470898564
14889970_61LaMvM	growl	1_	0.7900963718819867
14889970_62LaNMvM	hay	1_	1.0674716553286885
14889970_63LaNMvNM	hedge	1_	1.165457294028613
14889970_64HaMvNM	hen	1_	1.2070294784579403
14889970_65LaMvM	herd	1_	0.8835347154733881
14889970_66LaNMvM	hint	1_	0.9113010204080751
14889970_67LaNMvNM	hips	1_	0.8533165964797718
14889970_68HaMvNM	hive	1_	0.6763106575962183
14889970_69LaMvM	host	1_	0.9537074829930248
14889970_70LaNMvM	hug	1_	1.1822161989794608
14889970_71LaNMvNM	jar	1_	0.744128171903526
14889970_72HaMvNM	juice	1_	0.9539574975287906
14889970_73LaMvM	junk	0_jank	1.0056548752833123
14889970_74LaNMvM	kick	1_	0.5378080732966737
14889970_75LaMvNM	knife	1_	1.0029868984629502
14889970_76HaNMvNM	knob	1_	0.9884693877549466
14889970_78HaNMvM	lap	1_	1.1507021182455333
14889970_79HaMvM	lid	1_	1.494988662131334
14889970_7LaMvNM	bend	1_	0.9616268507401173
14889970_80LaMvNM	lock	1_	1.0579931972786767
14889970_81HaNMvNM	logs	1_	0.8828094044633303
14889970_82HaNMvM	lungs	1_	0.8792501889642494
14889970_83HaMvM	map	1_	1.4994716553285912
14889970_85LaMvNM	mat	1_	1.124501133786623
14889970_86HaNMvNM	meal	1_	0.7840970933825702
14889970_87HaNMvM	mop	1_	0.812072858128488
14889970_88HaMvM	mouse	1_	1.2201723356006369
14889970_89LaMvNM	mug	1_	1.070156729358132
14889970_8HaNMvNM	blame	1_	1.198238713340345
14889970_90HaNMvNM	net	1_	0.8507851473920596
14889970_91HaNMvM	notch	1_	0.9614764481547695
14889970_93HaMvM	pad	1_	0.949919501133536
14889970_94LaNMvNM	pet	1_	0.6374407338690276
14889970_95HaMvNM	pie	1_	1.080156729358123
14889970_96LaMvM	pile	0_pearl	0.8909194471436876
14889970_97LaNMvM	pill	0_pale?	0.9492437221799719
14889970_98LaNMvNM	pine	1_	1.032221466364092
14889970_99HaMvNM	plot	1_	0.9486441243161607
14889970_9HaNMvM	blast	1_	0.9175781625779109
