"parid","scheduleID","accuracy","original_label","note"
"210719_a25",14557507,0,"14557507_122LaNMvNM","spin"
"210719_a25",14557507,0,"14557507_134LaMvM","ten"
"210719_a25",14557507,0,"14557507_21HaNMvNM","clark?"
"210719_a41",14610319,0,"14610319_118LaMvNM","snail"
"210719_a41",14610319,0,"14610319_140HaMvNM","nasalisation 'mban'"
"210719_a41",14610319,0,"14610319_17LaMvM","pulsed?"
"210719_a41",14610319,0,"14610319_38HaNMvNM","wrongthencorrectsit"
"210719_a41",14610319,0,"14610319_94LaMvM","bet"
"210719_a41",14610319,0,"14610319_98LaMvM","time"
"210719_c12",14456668,0,"14456668_65HaMvM","I dont' know"
"210719_c12",14456668,0,"14456668_74LaMvNM","a kick"
"210719_c26",14526592,0,"14526592_140HaNMvNM","s van"
"210719_c26",14526592,0,"14526592_21LaMvM","'clocp'"
"210719_c26",14526592,0,"14526592_50LaMvNM","'fame'"
"210719_c26",14526592,0,"14526592_51LaNMvM","sounds like 'flog'. I think it ends with a click actually"
"210719_c26",14526592,0,"14526592_73HaNMvNM","I think the final 'k' is voiced though"
"210719_c29",14956811,0,"14956811_107LaMvNM","it ends with a click"
"210719_c29",14956811,0,"14956811_121LaMvM","spoold"
"210719_c29",14956811,0,"14956811_134LaNMvNM","too quite to be heard"
"210719_c29",14956811,0,"14956811_16HaNMvM","do not think she said anything"
"210719_c29",14956811,0,"14956811_21LaMvNM","cars?"
"210719_c29",14956811,0,"14956811_3LaMvM","sounds like boy"
"210719_c29",14956811,0,"14956811_57HaMvNM","sounds like Alices recording rather than the participant"
"210719_c29",14956811,0,"14956811_58HaNMvM","cannot hear"
"210719_c29",14956811,0,"14956811_74LaMvNM","cannot hear"
"210719_c29",14956811,0,"14956811_79HaNMvM","double l"
"210719_c29",14956811,0,"14956811_8LaMvM","Is there a devoicing of b?"
"210719_c29",14956811,0,"14956811_9HaMvNM","dust"
"210719_c47",14557278,0,"14557278_134HaMvM","discard_she siad i don't know"
"210719_c53",15074698,0,"15074698_103HaMvNM","graft"
"210719_c53",15074698,0,"15074698_107LaMvM","self correction"
"210719_c53",15074698,0,"15074698_114HaMvM","sick?"
"210719_c53",15074698,0,"15074698_118HaMvM","slink?"
"210719_c53",15074698,0,"15074698_37HaMvM","self-correction"
"210719_c53",15074698,0,"15074698_42LaMvNM","dun?"
"210719_c53",15074698,0,"15074698_58LaMvNM","cannot figure out what the child said"
"210719_c66",14758562,0,"14758562_121HaNMvM","discard_spoon"
"210719_c66",14758562,0,"14758562_20HaMvNM","discard_small chunks"
"210719_c66",14758562,0,"14758562_28HaMvNM","discard_tops"
"210719_c66",14758562,0,"14758562_2HaMvM","discard_bar"
"210719_c66",14758562,0,"14758562_38HaNMvNM","discard_deaf"
"210719_c66",14758562,0,"14758562_51HaMvM","discard_flop"
"210719_c66",14758562,0,"14758562_74LaNMvNM","discard_tin"
"210719_c66",14758562,0,"14758562_91LaMvNM","discard_not"
"210719_c71",14549435,0,"14549435_133HaNMvM","unsure_thrat?"
"210719_c71",14549435,0,"14549435_2LaMvM","varn"
"210719_c71",14549435,0,"14549435_43LaMvM","dark"
"210723_a76",14582654,0,"14582654_134LaMvM","tim?"
"210723_a76",14582654,0,"14582654_17LaMvNM","car?_orcutoff?"
"210723_a76",14582654,0,"14582654_32LaNMvM","cop?"
"210723_a76",14582654,0,"14582654_60LaMvM","gran"
"210723_a76",14582654,0,"14582654_64LaMvM","ahead"
"210723_a76",14582654,0,"14582654_80HaNMvM","clock? Alice's k?"
"210723_a78",14657603,0,"14657603_50LaNMvNM","plane"
"210723_a78",14657603,0,"14657603_57LaMvM","blue"
"210723_a78",14657603,0,"14657603_8LaNMvM","maim?"
"210723_a78",14657603,0,"14657603_91LaMvM","nokch?"
"210723_a79",14566634,0,"14566634_35LaMvM","purt?"
"210723_a79",14566634,0,"14566634_42LaNMvM","though?"
"210723_a79",14566634,0,"14566634_43LaMvM","duck?"
"210723_a79",14566634,0,"14566634_60HaMvM","grunt?"
"210723_a79",14566634,0,"14566634_64HaMvM","hand"
"210725_a118",14685140,0,"14685140_89LaMvNM","mud"
"210725_a118",14685140,0,"14685140_96LaMvM","pearl"
"210725_a120",14668484,0,"14668484_111LaMvM","sleeves"
"210725_a120",14668484,0,"14668484_121LaNMvNM","I don't know"
"210725_a120",14668484,0,"14668484_21LaMvM","I don't know"
"210725_a120",14668484,0,"14668484_32HaNMvNM","voiced p"
"210725_a120",14668484,0,"14668484_33LaMvM","crowns"
"210725_a120",14668484,0,"14668484_43LaNMvM","I don't know"
"210725_a120",14668484,0,"14668484_47HaMvM","self-correction and I don't know"
"210725_a120",14668484,0,"14668484_62LaMvM","I don't know"
