label	correctans	note	duration_raw	doublecheck
14557507_39HaNMvM	dent	1_including pre-nasalisation	0.11477267156862325	1_including pre-nasalisation
14557507_9LaNMvNM	blast	1_including prenasalisation	0.12434541666667087	1_including prenasalisation
14456668_112HaNMvNM	shed	1_onset not sure	0.10257060185185196	1_onset not sure
14456668_12HaNMvNM	bread	1_including pre-nasalisation	0.1763124999999981	1_including pre-nasalisation
14456668_131HaMvM	thief	1_preceded by f	0.12108291666666204	1_preceded by f
14456668_132LaMvNM	thorns	1_say 'many thorns'	0.27025536616161006	2
14456668_2HaNMvNM	barn	1_pre-nasalisation	0.13732090053764523	1_pre-nasalisation
14456668_38HaNMvM	den	1_pre-nasalisation	0.2924177083333461	1_pre-nasalisation
14456668_58HaNMvM	goal	1_including pre-nasalisation	0.05131041666665226	1_including pre-nasalisation
14456668_5HaNMvM	beam	1_pre-nasalisation	0.1472331018518389	1_pre-nasalisation
14456668_60LaNMvNM	grin	1_pre-nasalisation	0.19675655864195107	1_pre-nasalisation
14456668_61HaMvM	growl	1_pre-nasalisation	0.2872664262820308	1_pre-nasalisation
14456668_72LaNMvNM	juice	1_pre-nasalisation	0.10175416666665171	1_pre-nasalisation
14557278_23HaMvM	clock	1__ s	1.1908463010204002	1__ s
14557278_72HaMvM	juice	1_unsure_juiced	1.2180845081454095	1_unsure_juiced
15074698_12LaNMvM	bread	1__pre-nasaling	1.057052083333332	1__pre-nasaling
15074698_140HaNMvNM	van	1__pre-nasaling	1.1081935698621521	1__pre-nasaling
15074698_41HaMvM	dive	1__pre-nasaling	1.3233882627503988	1__pre-nasaling
15074698_59HaMvNM	gown	1__pre-nasaling	1.1185221036584778	1__pre-nasaling
14758562_119HaNMvNM	splash	1__OVERLAP	0.9312872686679583	2
14758562_120HaMvM	sponge	1__unclear overlap with noise	0.7462687499999987	1__unclear overlap with noise
14549435_128LaNMvM	swan	1_unsure_	0.8076354166666562	1_unsure_
14668484_19HaNMvM	chat	1_glotalized t	0.8734461477987594	1_glotalized t
14930256_3HaMvM	bay	1_including pre-nasalisation	0.7149657738095527	1_including pre-nasalisation
14930256_40HaMvM	ditch	1_including pre-nasalisation	0.7192587762467326	1_including pre-nasalisation
14947964_68HaMvM	hive	1_sounds like 'hize' or 'hithe'.	0.7009608883647331	1_sounds like 'hize' or 'hithe'.
15219350_60LaMvNM	grin	1_but appears unsure	0.6775222983035007	1_but appears unsure
15219350_64LaMvNM	hen	1_appears unsure	0.822206495097987	1_appears unsure
15129350_60HaMvNM	grin	1_unsure - rising tone	1.2145227623456094	1_unsure - rising tone
15129350_96LaMvM	pile	1_unsure - rising tone	0.8723437499998852	1_unsure - rising tone
15129350_98LaNMvNM	pine	1_unsure - rising tone	0.8051835768396813	1_unsure - rising tone
14570364_140HaNMvM	van	1_v is not fully voiced 	0.7040069852941144	1_v is not fully voiced 
14570364_15LaMvM	bruise	1_do not know if /b/ is make into a fricative or it was just the noise from the equipment (pre-nasalisation involved)	0.702645833333321	1_do not know if /b/ is make into a fricative or it was just the noise from the equipment (pre-nasalisation involved)
14570364_21HaMvM	clerk	1_clock	0.7166606582125326	1_clock
14570364_2HaMvNM	barn	1_pre-nasalisation	0.7092911184210067	1_pre-nasalisation
14570364_42LaNMvNM	doll	1_correct but strange	0.7036825181158974	2
14570364_58LaNMvNM	goal	1_pre-nasalisation	0.7278017178362006	1_pre-nasalisation
14570364_72LaMvNM	juice	1_prevoicing	0.707524784482672	1_prevoicing
14570364_73HaNMvM	junk	1_prevoicing	0.7160984623014883	1_prevoicing
15102120_114HaMvM	silk	1_unsure_rising	0.6731020833333332	1_unsure_rising
15102120_58LaMvNM	goal	1_unsure_	0.7856837322695469	1_unsure_
15367679_50LaMvNM	flame	1__don't know	1.0189950617283614	0
15367679_88LaMvNM	mouse	1__donnot know	0.9350295138888782	0
15571068_103HaNMvM	raft	1_unsure_	1.062144549086753	1_unsure_
15571068_131LaNMvNM	thief	1_discard_cannot figure out the onset	1.1718265671502905	2
14745223_82HaMvNM	lungs	1_unsure_I think the answer was right, but was not fully recorded	0.9968140589569714	2
14745923_3HaMvM	bay	1__pre-nasaling	0.8842154195011176	1__pre-nasaling
14745923_40HaMvM	ditch	1__pre-nasaling	0.8360128495842503	1__pre-nasaling
14745923_46HaMvM	drug	1__pre-nasaling	1.0092106683943314	1__pre-nasaling
